Wilaya,1966,1977,1987,1998,2008
Adrar,0.20,0.30,0.50,0.70,0.90
Chlef,70.70,102.80,142.70,179.10,209.00
Laghouat,4.10,5.90,8.50,12.70,18.20
Oum El Bouaghi,34.00,45.20,59.70,76.60,91.60
Batna,30.60,42.10,61.70,78.90,91.90
Bejaia,131.20,156.50,214.50,262.20,279.30
Biskra,10.10,15.70,20.50,27.40,34.40
Bechar,0.50,0.80,1.10,1.40,1.70
Blida,175.30,295.40,414.00,497.30,636.00
Bouira,58.40,84.30,118.70,141.80,156.70
Tamanrasset,0.10,0.10,0.20,0.30,0.30
Tebessa,16.20,21.60,28.80,38.60,45.60
Tlemcen,45.70,59.10,78.90,93.20,104.80
Tiaret,15.30,19.70,27.90,35.20,41.00
Tizi-Ouzou,146.80,196.70,262.60,310.50,316.00
Alger*,3643.80,5816.40,6191.20,3144.60,3666.40
Djelfa,3.60,5.00,7.40,12.00,16.40
Jijel,92.40,132.90,183.30,222.30,247.20
Setif,73.00,105.60,153.90,201.60,229.10
Saida,17.10,21.30,34.80,41.30,48.90
Skikda,80.70,116.00,154.60,195.30,223.20
Sidi Bel Abbes,27.60,35.40,49.10,57.90,66.50
Annaba,151.90,243.20,316.80,387.60,423.60
Guelma,53.70,67.50,86.20,104.80,117.60
Constantine,159.20,218.70,303.80,370.80,429.10
Medea,41.00,53.70,73.60,90.70,92.50
Mostaganem,125.20,165.90,232.60,290.60,338.90
M’Sila,16.00,22.30,32.30,43.00,52.90
Mascara,52.60,68.60,95.40,113.90,132.00
Ouargla,0.60,0.90,1.30,2.10,2.60
Oran,212.80,326.10,439.60,571.00,685.60
El Bayadh,0.90,1.50,1.90,2.10,2.90
Illizi,0.00,0.00,0.10,0.10,0.20
Bordj Bou Arreridj,56.20,75.20,103.20,135.00,152.70
Boumerdes,176.60,276.30,409.20,435.00,539.00
El Tarf,37.00,58.00,82.50,105.60,122.30
Tindouf,0.00,0.00,0.10,0.20,0.30
Tissemsilt,42.20,54.00,72.40,84.00,93.40
El Oued,3.10,4.80,6.90,9.30,11.90
Khenchela,13.10,19.30,25.10,33.40,39.40
Souk Ahras,38.10,49.70,65.20,81.00,96.50
Tipaza,131.30,208.00,286.30,274.30,320.20
Mila,32.30,40.40,54.60,72.60,81.80
Ain Defla,57.70,80.00,109.80,135.00,156.60
Naama,2.00,2.80,3.80,4.30,6.40
Ain Temouchent,72.50,92.20,115.60,137.60,156.10
Ghardaia,1.20,1.90,2.50,3.50,4.20
Relizane,60.10,75.70,111.90,131.90,149.10
