"","Wilaya","year","density"
"1","Adrar","X1966",0.2
"2","Chlef","X1966",70.7
"3","Laghouat","X1966",4.1
"4","Oum El Bouaghi","X1966",34
"5","Batna","X1966",30.6
"6","Bejaia","X1966",131.2
"7","Biskra","X1966",10.1
"8","Bechar","X1966",0.5
"9","Blida","X1966",175.3
"10","Bouira","X1966",58.4
"11","Tamanrasset","X1966",0.1
"12","Tebessa","X1966",16.2
"13","Tlemcen","X1966",45.7
"14","Tiaret","X1966",15.3
"15","Tizi-Ouzou","X1966",146.8
"16","Djelfa","X1966",3.6
"17","Jijel","X1966",92.4
"18","Setif","X1966",73
"19","Saida","X1966",17.1
"20","Skikda","X1966",80.7
"21","Sidi Bel Abbes","X1966",27.6
"22","Annaba","X1966",151.9
"23","Guelma","X1966",53.7
"24","Constantine","X1966",159.2
"25","Medea","X1966",41
"26","Mostaganem","X1966",125.2
"27","M’Sila","X1966",16
"28","Mascara","X1966",52.6
"29","Ouargla","X1966",0.6
"30","Oran","X1966",212.8
"31","El Bayadh","X1966",0.9
"32","Illizi","X1966",0
"33","Bordj Bou Arreridj","X1966",56.2
"34","Boumerdes","X1966",176.6
"35","El Tarf","X1966",37
"36","Tindouf","X1966",0
"37","Tissemsilt","X1966",42.2
"38","El Oued","X1966",3.1
"39","Khenchela","X1966",13.1
"40","Souk Ahras","X1966",38.1
"41","Tipaza","X1966",131.3
"42","Mila","X1966",32.3
"43","Ain Defla","X1966",57.7
"44","Naama","X1966",2
"45","Ain Temouchent","X1966",72.5
"46","Ghardaia","X1966",1.2
"47","Relizane","X1966",60.1
"48","Adrar","X1977",0.3
"49","Chlef","X1977",102.8
"50","Laghouat","X1977",5.9
"51","Oum El Bouaghi","X1977",45.2
"52","Batna","X1977",42.1
"53","Bejaia","X1977",156.5
"54","Biskra","X1977",15.7
"55","Bechar","X1977",0.8
"56","Blida","X1977",295.4
"57","Bouira","X1977",84.3
"58","Tamanrasset","X1977",0.1
"59","Tebessa","X1977",21.6
"60","Tlemcen","X1977",59.1
"61","Tiaret","X1977",19.7
"62","Tizi-Ouzou","X1977",196.7
"63","Djelfa","X1977",5
"64","Jijel","X1977",132.9
"65","Setif","X1977",105.6
"66","Saida","X1977",21.3
"67","Skikda","X1977",116
"68","Sidi Bel Abbes","X1977",35.4
"69","Annaba","X1977",243.2
"70","Guelma","X1977",67.5
"71","Constantine","X1977",218.7
